name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long,	   FALSE,		Subtract,		0,			 10000,				1000,				3,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 10000,				2000,				5,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 10000,				3000,				6,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 10000,				4000,				8,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 10000,				5000,				11,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 20000,				1000,				5,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 20000,				2000,				9,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 20000,				3000,				13,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 20000,				4000,				18,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 20000,				5000,				22,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 30000,				1000,				7,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 30000,				2000,				14,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 30000,				3000,				21,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 30000,				4000,				27,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 30000,				5000,				35,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 40000,				1000,				10,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 40000,				2000,				26,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 40000,				3000,				31,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 40000,				4000,				49,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 40000,				5000,				58,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 50000,				1000,				16,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 50000,				2000,				35,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 50000,				3000,				50,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 50000,				4000,				65,			
inteli7,	   Long,	   FALSE,		Subtract,		0,			 50000,				5000,				75,			

