name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float,	   FALSE,		Divide,		1,			 10000,				1000,				5,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 10000,				2000,				9,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 10000,				3000,				15,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 10000,				4000,				19,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 10000,				5000,				24,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 20000,				1000,				10,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 20000,				2000,				19,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 20000,				3000,				29,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 20000,				4000,				38,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 20000,				5000,				48,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 30000,				1000,				14,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 30000,				2000,				28,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 30000,				3000,				43,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 30000,				4000,				57,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 30000,				5000,				71,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 40000,				1000,				19,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 40000,				2000,				39,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 40000,				3000,				58,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 40000,				4000,				76,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 40000,				5000,				95,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 50000,				1000,				24,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 50000,				2000,				47,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 50000,				3000,				72,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 50000,				4000,				95,			
inteli7,	   Float,	   FALSE,		Divide,		1,			 50000,				5000,				119,			

