name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long,	   FALSE,		Multiply,		1,			 10000,				1000,				4,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 10000,				2000,				7,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 10000,				3000,				11,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 10000,				4000,				15,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 10000,				5000,				19,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 20000,				1000,				8,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 20000,				2000,				15,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 20000,				3000,				22,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 20000,				4000,				30,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 20000,				5000,				38,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 30000,				1000,				11,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 30000,				2000,				22,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 30000,				3000,				34,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 30000,				4000,				45,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 30000,				5000,				57,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 40000,				1000,				17,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 40000,				2000,				35,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 40000,				3000,				51,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 40000,				4000,				69,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 40000,				5000,				86,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 50000,				1000,				23,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 50000,				2000,				44,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 50000,				3000,				68,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 50000,				4000,				89,			
inteli7,	   Long,	   FALSE,		Multiply,		1,			 50000,				5000,				112,			

