name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 10000,				1000,				92,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 10000,				2000,				165,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 10000,				3000,				252,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 10000,				4000,				318,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 10000,				5000,				411,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 20000,				1000,				158,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 20000,				2000,				318,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 20000,				3000,				480,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 20000,				4000,				640,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 20000,				5000,				816,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 30000,				1000,				241,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 30000,				2000,				483,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 30000,				3000,				725,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 30000,				4000,				965,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 30000,				5000,				1204,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 40000,				1000,				323,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 40000,				2000,				639,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 40000,				3000,				968,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 40000,				4000,				1288,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 40000,				5000,				1606,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 50000,				1000,				404,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 50000,				2000,				813,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 50000,				3000,				1224,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 50000,				4000,				1626,			
inteli7,	   Long_Boxed,	   TRUE,		Add,		1,			 50000,				5000,				2039,			

