name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 10000,				1000,				101,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 10000,				2000,				195,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 10000,				3000,				295,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 10000,				4000,				391,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 10000,				5000,				490,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 20000,				1000,				194,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 20000,				2000,				392,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 20000,				3000,				602,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 20000,				4000,				785,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 20000,				5000,				980,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 30000,				1000,				294,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 30000,				2000,				596,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 30000,				3000,				890,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 30000,				4000,				1187,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 30000,				5000,				1485,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 40000,				1000,				395,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 40000,				2000,				787,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 40000,				3000,				1181,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 40000,				4000,				1576,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 40000,				5000,				1985,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 50000,				1000,				493,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 50000,				2000,				997,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 50000,				3000,				1491,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 50000,				4000,				1988,			
inteli7,	   Long_Boxed,	   TRUE,		Multiply,		1,			 50000,				5000,				2481,			

