name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double,	   FALSE,		Divide,		1,			 10000,				1000,				16,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 10000,				2000,				27,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 10000,				3000,				38,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 10000,				4000,				49,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 10000,				5000,				59,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 20000,				1000,				31,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 20000,				2000,				54,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 20000,				3000,				75,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 20000,				4000,				98,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 20000,				5000,				119,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 30000,				1000,				48,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 30000,				2000,				81,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 30000,				3000,				114,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 30000,				4000,				146,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 30000,				5000,				180,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 40000,				1000,				63,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 40000,				2000,				108,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 40000,				3000,				152,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 40000,				4000,				197,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 40000,				5000,				240,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 50000,				1000,				79,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 50000,				2000,				135,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 50000,				3000,				207,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 50000,				4000,				244,			
inteli7,	   Double,	   FALSE,		Divide,		1,			 50000,				5000,				301,			

