name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 10000,				1000,				57,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 10000,				2000,				106,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 10000,				3000,				167,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 10000,				4000,				529,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 10000,				5000,				1017,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 20000,				1000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 20000,				2000,				217,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 20000,				3000,				326,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 20000,				4000,				1072,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 20000,				5000,				2039,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 30000,				1000,				166,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 30000,				2000,				328,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 30000,				3000,				492,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 30000,				4000,				1558,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 30000,				5000,				3076,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 40000,				1000,				217,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 40000,				2000,				439,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 40000,				3000,				659,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 40000,				4000,				2070,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 40000,				5000,				4121,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 50000,				1000,				275,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 50000,				2000,				557,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 50000,				3000,				833,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 50000,				4000,				2610,			
inteli7,	   Double_Boxed,	   TRUE,		Multiply,		1,			 50000,				5000,				5327,			

