name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 10000,				1000,				67,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 10000,				2000,				127,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 10000,				3000,				194,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 10000,				4000,				248,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 10000,				5000,				308,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 20000,				1000,				127,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 20000,				2000,				253,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 20000,				3000,				385,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 20000,				4000,				498,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 20000,				5000,				617,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 30000,				1000,				195,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 30000,				2000,				385,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 30000,				3000,				580,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 30000,				4000,				784,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 30000,				5000,				930,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 40000,				1000,				258,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 40000,				2000,				511,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 40000,				3000,				770,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 40000,				4000,				1020,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 40000,				5000,				1246,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 50000,				1000,				322,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 50000,				2000,				675,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 50000,				3000,				1148,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 50000,				4000,				1298,			
inteli7,	   Double_Boxed,	   TRUE,		Divide,		0,			 50000,				5000,				1605,			

