name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 10000,				1000,				53,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 10000,				2000,				102,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 10000,				3000,				159,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 10000,				4000,				227,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 10000,				5000,				257,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 20000,				1000,				104,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 20000,				2000,				206,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 20000,				3000,				310,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 20000,				4000,				417,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 20000,				5000,				516,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 30000,				1000,				156,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 30000,				2000,				313,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 30000,				3000,				466,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 30000,				4000,				628,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 30000,				5000,				781,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 40000,				1000,				208,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 40000,				2000,				416,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 40000,				3000,				626,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 40000,				4000,				856,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 40000,				5000,				1058,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 50000,				1000,				263,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 50000,				2000,				519,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 50000,				3000,				814,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 50000,				4000,				1044,			
inteli7,	   Float_Boxed,	   TRUE,		Divide,		1,			 50000,				5000,				1316,			

