name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double,	   FALSE,		Add,		1,			 10000,				1000,				2,			
inteli7,	   Double,	   FALSE,		Add,		1,			 10000,				2000,				4,			
inteli7,	   Double,	   FALSE,		Add,		1,			 10000,				3000,				7,			
inteli7,	   Double,	   FALSE,		Add,		1,			 10000,				4000,				10,			
inteli7,	   Double,	   FALSE,		Add,		1,			 10000,				5000,				12,			
inteli7,	   Double,	   FALSE,		Add,		1,			 20000,				1000,				5,			
inteli7,	   Double,	   FALSE,		Add,		1,			 20000,				2000,				10,			
inteli7,	   Double,	   FALSE,		Add,		1,			 20000,				3000,				15,			
inteli7,	   Double,	   FALSE,		Add,		1,			 20000,				4000,				20,			
inteli7,	   Double,	   FALSE,		Add,		1,			 20000,				5000,				24,			
inteli7,	   Double,	   FALSE,		Add,		1,			 30000,				1000,				7,			
inteli7,	   Double,	   FALSE,		Add,		1,			 30000,				2000,				15,			
inteli7,	   Double,	   FALSE,		Add,		1,			 30000,				3000,				21,			
inteli7,	   Double,	   FALSE,		Add,		1,			 30000,				4000,				29,			
inteli7,	   Double,	   FALSE,		Add,		1,			 30000,				5000,				36,			
inteli7,	   Double,	   FALSE,		Add,		1,			 40000,				1000,				11,			
inteli7,	   Double,	   FALSE,		Add,		1,			 40000,				2000,				22,			
inteli7,	   Double,	   FALSE,		Add,		1,			 40000,				3000,				34,			
inteli7,	   Double,	   FALSE,		Add,		1,			 40000,				4000,				45,			
inteli7,	   Double,	   FALSE,		Add,		1,			 40000,				5000,				55,			
inteli7,	   Double,	   FALSE,		Add,		1,			 50000,				1000,				15,			
inteli7,	   Double,	   FALSE,		Add,		1,			 50000,				2000,				31,			
inteli7,	   Double,	   FALSE,		Add,		1,			 50000,				3000,				45,			
inteli7,	   Double,	   FALSE,		Add,		1,			 50000,				4000,				62,			
inteli7,	   Double,	   FALSE,		Add,		1,			 50000,				5000,				75,			

