name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 10000,				1000,				41,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 10000,				2000,				69,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 10000,				3000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 10000,				4000,				137,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 10000,				5000,				178,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 20000,				1000,				68,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 20000,				2000,				143,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 20000,				3000,				212,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 20000,				4000,				282,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 20000,				5000,				352,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 30000,				1000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 30000,				2000,				212,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 30000,				3000,				321,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 30000,				4000,				427,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 30000,				5000,				533,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 40000,				1000,				147,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 40000,				2000,				289,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 40000,				3000,				433,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 40000,				4000,				579,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 40000,				5000,				748,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 50000,				1000,				222,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 50000,				2000,				483,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 50000,				3000,				644,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 50000,				4000,				774,			
inteli7,	   Double_Boxed,	   TRUE,		Add,		1,			 50000,				5000,				946,			

