name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 10000,				1000,				98,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 10000,				2000,				188,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 10000,				3000,				287,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 10000,				4000,				375,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 10000,				5000,				472,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 20000,				1000,				190,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 20000,				2000,				380,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 20000,				3000,				571,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 20000,				4000,				762,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 20000,				5000,				950,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 30000,				1000,				286,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 30000,				2000,				577,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 30000,				3000,				868,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 30000,				4000,				1152,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 30000,				5000,				1444,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 40000,				1000,				382,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 40000,				2000,				764,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 40000,				3000,				1154,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 40000,				4000,				1533,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 40000,				5000,				1914,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 50000,				1000,				479,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 50000,				2000,				966,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 50000,				3000,				1449,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 50000,				4000,				1936,			
inteli7,	   Long_Boxed,	   TRUE,		Subtract,		1,			 50000,				5000,				2417,			

