name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 10000,				1000,				50,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 10000,				2000,				105,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 10000,				3000,				151,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 10000,				4000,				208,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 10000,				5000,				251,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 20000,				1000,				103,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 20000,				2000,				203,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 20000,				3000,				339,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 20000,				4000,				453,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 20000,				5000,				510,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 30000,				1000,				195,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 30000,				2000,				306,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 30000,				3000,				460,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 30000,				4000,				616,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 30000,				5000,				782,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 40000,				1000,				204,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 40000,				2000,				427,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 40000,				3000,				613,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 40000,				4000,				823,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 40000,				5000,				1026,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 50000,				1000,				255,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 50000,				2000,				510,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 50000,				3000,				772,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 50000,				4000,				1035,			
inteli7,	   Integer_Boxed,	   TRUE,		Multiply,		0,			 50000,				5000,				1326,			

