name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long,	   FALSE,		Divide,		1,			 10000,				1000,				87,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 10000,				2000,				174,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 10000,				3000,				261,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 10000,				4000,				349,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 10000,				5000,				437,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 20000,				1000,				174,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 20000,				2000,				348,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 20000,				3000,				524,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 20000,				4000,				701,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 20000,				5000,				870,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 30000,				1000,				263,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 30000,				2000,				524,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 30000,				3000,				786,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 30000,				4000,				1046,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 30000,				5000,				1309,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 40000,				1000,				349,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 40000,				2000,				699,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 40000,				3000,				1047,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 40000,				4000,				1397,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 40000,				5000,				1747,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 50000,				1000,				436,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 50000,				2000,				872,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 50000,				3000,				1310,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 50000,				4000,				1746,			
inteli7,	   Long,	   FALSE,		Divide,		1,			 50000,				5000,				2185,			

