name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 10000,				1000,				56,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 10000,				2000,				110,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 10000,				3000,				161,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 10000,				4000,				205,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 10000,				5000,				257,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 20000,				1000,				113,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 20000,				2000,				214,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 20000,				3000,				313,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 20000,				4000,				413,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 20000,				5000,				517,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 30000,				1000,				171,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 30000,				2000,				324,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 30000,				3000,				474,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 30000,				4000,				624,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 30000,				5000,				772,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 40000,				1000,				252,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 40000,				2000,				430,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 40000,				3000,				634,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 40000,				4000,				849,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 40000,				5000,				1037,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 50000,				1000,				287,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 50000,				2000,				534,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 50000,				3000,				796,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 50000,				4000,				1043,			
inteli7,	   Float_Boxed,	   TRUE,		Multiply,		0,			 50000,				5000,				1305,			

