name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer,	   FALSE,		Divide,		1,			 10000,				1000,				23,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 10000,				2000,				44,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 10000,				3000,				67,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 10000,				4000,				89,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 10000,				5000,				111,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 20000,				1000,				44,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 20000,				2000,				89,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 20000,				3000,				133,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 20000,				4000,				177,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 20000,				5000,				222,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 30000,				1000,				67,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 30000,				2000,				134,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 30000,				3000,				200,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 30000,				4000,				266,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 30000,				5000,				332,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 40000,				1000,				89,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 40000,				2000,				178,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 40000,				3000,				266,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 40000,				4000,				355,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 40000,				5000,				445,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 50000,				1000,				111,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 50000,				2000,				222,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 50000,				3000,				332,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 50000,				4000,				443,			
inteli7,	   Integer,	   FALSE,		Divide,		1,			 50000,				5000,				556,			

