name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 10000,				1000,				142,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 10000,				2000,				284,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 10000,				3000,				424,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 10000,				4000,				567,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 10000,				5000,				708,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 20000,				1000,				284,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 20000,				2000,				567,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 20000,				3000,				849,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 20000,				4000,				1135,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 20000,				5000,				1416,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 30000,				1000,				425,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 30000,				2000,				849,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 30000,				3000,				1274,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 30000,				4000,				1697,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 30000,				5000,				2122,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 40000,				1000,				568,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 40000,				2000,				1132,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 40000,				3000,				1701,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 40000,				4000,				2268,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 40000,				5000,				2830,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 50000,				1000,				725,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 50000,				2000,				1415,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 50000,				3000,				2127,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 50000,				4000,				2832,			
inteli7,	   Long_Boxed,	   TRUE,		Divide,		0,			 50000,				5000,				3548,			

