name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 10000,				1000,				44,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 10000,				2000,				76,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 10000,				3000,				89,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 10000,				4000,				124,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 10000,				5000,				150,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 20000,				1000,				61,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 20000,				2000,				121,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 20000,				3000,				179,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 20000,				4000,				243,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 20000,				5000,				347,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 30000,				1000,				92,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 30000,				2000,				183,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 30000,				3000,				273,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 30000,				4000,				370,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 30000,				5000,				457,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 40000,				1000,				123,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 40000,				2000,				246,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 40000,				3000,				372,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 40000,				4000,				496,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 40000,				5000,				615,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 50000,				1000,				158,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 50000,				2000,				313,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 50000,				3000,				484,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 50000,				4000,				639,			
inteli7,	   Float_Boxed,	   TRUE,		Add,		0,			 50000,				5000,				776,			

