name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 10000,				1000,				63,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 10000,				2000,				124,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 10000,				3000,				197,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 10000,				4000,				251,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 10000,				5000,				312,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 20000,				1000,				124,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 20000,				2000,				250,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 20000,				3000,				398,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 20000,				4000,				502,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 20000,				5000,				622,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 30000,				1000,				186,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 30000,				2000,				372,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 30000,				3000,				559,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 30000,				4000,				748,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 30000,				5000,				935,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 40000,				1000,				248,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 40000,				2000,				497,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 40000,				3000,				745,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 40000,				4000,				993,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 40000,				5000,				1245,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 50000,				1000,				309,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 50000,				2000,				621,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 50000,				3000,				931,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 50000,				4000,				1253,			
inteli7,	   Integer_Boxed,	   TRUE,		Divide,		1,			 50000,				5000,				1554,			

