name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 10000,				1000,				49,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 10000,				2000,				101,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 10000,				3000,				145,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 10000,				4000,				199,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 10000,				5000,				243,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 20000,				1000,				98,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 20000,				2000,				193,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 20000,				3000,				292,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 20000,				4000,				390,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 20000,				5000,				489,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 30000,				1000,				145,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 30000,				2000,				293,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 30000,				3000,				442,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 30000,				4000,				590,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 30000,				5000,				740,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 40000,				1000,				198,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 40000,				2000,				393,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 40000,				3000,				636,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 40000,				4000,				787,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 40000,				5000,				1048,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 50000,				1000,				246,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 50000,				2000,				490,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 50000,				3000,				745,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 50000,				4000,				1013,			
inteli7,	   Float_Boxed,	   TRUE,		Subtract,		1,			 50000,				5000,				1239,			

