name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 10000,				1000,				35,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 10000,				2000,				61,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 10000,				3000,				103,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 10000,				4000,				127,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 10000,				5000,				154,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 20000,				1000,				64,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 20000,				2000,				122,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 20000,				3000,				186,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 20000,				4000,				252,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 20000,				5000,				312,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 30000,				1000,				96,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 30000,				2000,				204,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 30000,				3000,				279,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 30000,				4000,				380,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 30000,				5000,				540,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 40000,				1000,				126,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 40000,				2000,				251,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 40000,				3000,				404,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 40000,				4000,				503,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 40000,				5000,				634,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 50000,				1000,				159,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 50000,				2000,				314,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 50000,				3000,				481,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 50000,				4000,				633,			
inteli7,	   Integer_Boxed,	   TRUE,		Add,		1,			 50000,				5000,				812,			

