name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 10000,				1000,				58,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 10000,				2000,				106,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 10000,				3000,				163,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 10000,				4000,				214,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 10000,				5000,				267,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 20000,				1000,				107,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 20000,				2000,				216,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 20000,				3000,				323,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 20000,				4000,				434,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 20000,				5000,				556,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 30000,				1000,				164,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 30000,				2000,				325,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 30000,				3000,				491,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 30000,				4000,				676,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 30000,				5000,				835,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 40000,				1000,				219,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 40000,				2000,				460,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 40000,				3000,				652,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 40000,				4000,				894,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 40000,				5000,				1135,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 50000,				1000,				276,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 50000,				2000,				576,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 50000,				3000,				835,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 50000,				4000,				1108,			
inteli7,	   Double_Boxed,	   TRUE,		Subtract,		0,			 50000,				5000,				1394,			

