name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 10000,				1000,				57,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 10000,				2000,				101,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 10000,				3000,				159,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 10000,				4000,				206,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 10000,				5000,				253,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 20000,				1000,				103,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 20000,				2000,				238,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 20000,				3000,				313,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 20000,				4000,				409,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 20000,				5000,				511,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 30000,				1000,				154,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 30000,				2000,				308,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 30000,				3000,				463,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 30000,				4000,				660,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 30000,				5000,				822,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 40000,				1000,				205,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 40000,				2000,				413,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 40000,				3000,				647,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 40000,				4000,				856,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 40000,				5000,				1039,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 50000,				1000,				257,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 50000,				2000,				516,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 50000,				3000,				780,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 50000,				4000,				1066,			
inteli7,	   Integer_Boxed,	   TRUE,		Subtract,		0,			 50000,				5000,				1302,			

