[1, 4, 6, 6, 8]
[4, 7, 11, 13, 15]
[6, 12, 16, 19, 23]
[8, 15, 22, 26, 30]
[10, 19, 27, 32, 38]
[12, 23, 32, 38, 46]
[13, 26, 54, 45, 53]
[16, 31, 60, 52, 60]
[17, 34, 48, 76, 72]
[19, 38, 54, 64, 76]
