[33, 2, 10, 3, 4]
[1, 3, 4, 6, 7]
[3, 4, 6, 8, 11]
[3, 6, 8, 12, 14]
[3, 7, 10, 14, 18]
[4, 8, 12, 17, 21]
[5, 10, 15, 19, 24]
[6, 11, 17, 22, 28]
[8, 15, 22, 41, 42]
[9, 17, 25, 33, 42]
