[1, 1, 2, 3, 3]
[1, 3, 4, 5, 6]
[2, 4, 6, 7, 10]
[2, 5, 8, 10, 13]
[3, 7, 9, 13, 15]
[4, 8, 11, 15, 19]
[4, 9, 13, 18, 22]
[5, 10, 15, 20, 25]
[7, 13, 19, 26, 32]
[7, 14, 22, 29, 36]
