[2, 4, 14, 26, 39]
[4, 9, 27, 52, 103]
[6, 13, 40, 78, 117]
[8, 17, 54, 103, 153]
[11, 21, 69, 131, 193]
[13, 26, 82, 157, 231]
[15, 30, 96, 184, 269]
[18, 34, 110, 227, 334]
[19, 38, 123, 236, 346]
[22, 43, 137, 261, 402]
