[2, 4, 6, 7, 10, 13, 16, 18, 22]
[10, 15, 22, 31, 39, 49, 61, 74, 88]
[21, 35, 49, 68, 89, 111, 138, 167, 199]
[39, 61, 89, 119, 158, 201, 247, 298, 355]
[62, 95, 140, 186, 249, 310, 390, 464, 556]
[89, 137, 201, 271, 357, 446, 557, 675, 803]
[120, 188, 274, 373, 484, 610, 757, 910, 1090]
[159, 246, 358, 481, 636, 797, 1002, 1192, 1443]
[202, 310, 457, 607, 804, 1020, 1259, 1517, 1823]
[249, 383, 563, 753, 994, 1245, 1560, 1865, 2234]
